GeneID,Symbol,log2(fold change)(AD_females vs ctrl),-log10(Pvalue)(AD_females vs ctrl)
3054,HCFC1,0.32,1.633
208,AKT2,0.319,1.699
7728,ZNF175,0.319,1.766
57335,ZNF286A,0.317,1.609
57661,PHRF1,0.316,1.605
984,CDK11B,0.315,1.535
23288,IQCE,0.315,1.363
54963,UCKL1,0.315,1.37
80230,RUFY1,0.314,1.419
64599,GIGYF1,0.314,1.68
25829,TMEM184B,0.314,1.319
3297,HSF1,0.313,1.35
8019,BRD3,0.313,1.44
10778,ZNF271P,0.313,1.417
58509,CACTIN,0.313,1.766
9546,APBA3,0.312,1.363
51490,SPOUT1,0.311,1.368
100499466,LINC00674,0.311,1.328
6497,SKI,0.309,1.322
10650,PRELID3A,0.308,1.432
23476,BRD4,0.308,2.09
9612,NCOR2,0.307,1.901
23164,MPRIP,0.307,1.57
55627,SMPD4,0.306,2.17
7862,BRPF1,0.306,1.31
51593,SRRT,0.306,1.322
1108,CHD4,0.306,1.813
5256,PHKA2,0.306,1.596
8897,MTMR3,0.305,1.348
1855,DVL1,0.303,1.307
643836,ZFP62,0.3,1.596
10928,RALBP1,0.298,1.363
404665,CACTIN-AS1,0.298,1.339
283337,ZNF740,0.297,1.78
728920,PDE4DIPP1,0.295,1.634
643641,ZNF862,0.295,1.436
7770,ZNF227,0.295,1.349
3705,ITPK1,0.293,1.361
65249,ZSWIM4,0.293,1.311
23293,SMG6,0.292,1.594
79894,ZNF672,0.291,1.543
5252,PHF1,0.291,1.359
3633,INPP5B,0.29,1.751
57666,FBRSL1,0.29,1.37
2588,GALNS,0.29,1.724
57710,KIAA1614,0.289,1.314
63035,BCORL1,0.289,1.333
23005,MAPKBP1,0.286,1.399
84260,TCHP,0.284,1.68
2802,GOLGA3,0.282,1.402
117246,FTSJ3,0.282,1.32
4089,SMAD4,0.281,1.374
57212,TP73-AS1,0.28,1.468
10482,NXF1,0.279,1.361
80153,EDC3,0.278,1.394
1856,DVL2,0.278,1.473
10014,HDAC5,0.278,1.31
25930,PTPN23,0.275,1.628
25792,CIZ1,0.275,1.804
147923,ZNF420,0.275,1.346
207,AKT1,0.273,1.557
26205,GMEB2,0.273,1.456
8844,KSR1,0.271,1.314
55131,RBM28,0.269,1.35
25992,SNED1,0.265,1.751
158234,TRMT10B,0.265,1.663
171017,ZNF384,0.263,1.328
57649,PHF12,0.262,1.339
54956,PARP16,0.261,1.367
353116,RILPL1,0.26,1.363
124245,ZC3H18,0.257,1.389
9489,PGS1,0.257,1.48
23216,TBC1D1,0.255,1.31
85451,UNK,0.255,1.367
9686,VGLL4,0.253,1.648
5894,RAF1,0.253,1.94
57693,ZNF317,0.249,1.92
146059,CDAN1,0.247,1.51
9416,DDX23,0.246,1.419
9989,PPP4R1,0.244,1.398
55048,VPS37C,0.242,1.419
2145,EZH1,0.242,1.748
57658,CALCOCO1,0.24,1.594
57099,AVEN,0.238,1.409
5428,POLG,0.237,1.327
1874,E2F4,0.235,1.348
169714,QSOX2,0.233,1.853
84893,FBH1,0.232,1.92
7029,TFDP2,0.227,1.461
11338,U2AF2,0.227,1.455
7327,UBE2G2,0.227,1.471
11273,ATXN2L,0.225,1.64
84823,LMNB2,0.222,1.395
51271,UBAP1,0.221,1.314
90850,ZNF598,0.219,1.335
473,RERE,0.218,1.544
54805,CNNM2,0.218,1.65
9885,OSBPL2,0.218,1.594
9730,DCAF1,0.216,1.421
9904,RBM19,0.216,1.427
22880,MORC2,0.212,1.306
10613,ERLIN1,0.211,1.415
137964,GPAT4,0.208,1.68
8603,FAM193A,0.205,1.32
9683,N4BP1,0.202,1.39
5976,UPF1,0.199,1.626
7528,YY1,0.194,1.363
7625,ZNF74,0.194,1.485
123720,WHAMM,0.192,1.409
6830,SUPT6H,0.192,1.408
1911,PHC1,0.185,1.441
130916,MTERF4,0.181,1.817
84289,ING5,0.172,1.311
107133515,SMURF2P1-LRRC37BP1,0.159,1.395
55108,BSDC1,0.153,1.405
23560,GTPBP4,-0.193,1.342
29058,TMEM230,-0.206,1.427
6427,SRSF2,-0.211,1.359
94101,ORMDL1,-0.224,1.319
51118,UTP11,-0.228,1.521
9443,MED7,-0.232,1.396
56052,ALG1,-0.232,1.345
51692,CPSF3,-0.238,1.517
9946,CRYZL1,-0.241,1.315
10109,ARPC2,-0.253,1.374
3298,HSF2,-0.257,1.35
445571,ZNG1C,-0.257,1.396
57136,APMAP,-0.257,1.513
57002,YAE1,-0.26,1.339
10552,ARPC1A,-0.26,1.427
10949,HNRNPA0,-0.262,1.594
11137,PWP1,-0.263,1.555
116143,DNAAF10,-0.265,1.322
5571,PRKAG1,-0.265,1.32
84342,COG8,-0.267,1.353
10480,EIF3M,-0.268,1.4
28977,MRPL42,-0.269,1.334
5162,PDHB,-0.273,1.803
441194,PMS2CL,-0.275,1.386
28976,ACAD9,-0.276,1.414
124411,KRBOX5,-0.276,1.455
5073,PARN,-0.278,1.517
26984,SEC22A,-0.279,1.396
124936,CYB5D2,-0.279,1.32
79770,TXNDC15,-0.282,1.509
220869,ZNG1E,-0.282,1.562
51126,NAA20,-0.284,1.717
